,Unnamed: 0,Mejor,Media,Std
150,150,5072949.492519625,5074225.989588488,435.9973605090237
151,151,5072949.492519625,5073914.419679393,456.062476591791
152,152,5072949.492519625,5073681.003113725,462.09668849506943
153,153,5072531.263533928,5073484.767052911,474.42939153118624
154,154,5071653.112772448,5073220.402871605,484.93229201119743
155,155,5071653.112772448,5072946.383084527,391.52640623247765
156,156,5071653.112772448,5072770.370854463,408.225997952416
157,157,5071108.777672087,5072551.840046537,467.5138353897865
158,158,5071108.777672087,5072377.024787836,467.2095708186586
159,159,5071108.777672087,5072138.466773941,495.38144214897005
160,160,5071108.777672087,5071849.733462196,460.4082641538952
161,161,5070284.998724508,5071557.618594064,459.634295175418
162,162,5070121.4832987245,5071299.332997776,416.7056407436312
163,163,5070121.4832987245,5071078.908065924,430.8362853349215
164,164,5070019.114540024,5070831.717057349,458.9405575549712
165,165,5069297.704351146,5070517.885277992,419.9037241890124
166,166,5069297.704351146,5070290.996169816,441.181514968551
167,167,5068744.755555912,5070077.463458938,451.8058133767826
168,168,5068744.755555912,5069916.074331836,503.3338844529608
169,169,5068744.755555912,5069737.107179041,517.2076285818657
170,170,5068323.572220988,5069496.197274661,582.2754241404452
171,171,5067443.536761644,5069156.681501536,545.2041361423746
172,172,5067443.536761644,5068825.627835735,595.5805082591278
173,173,5067271.12240039,5068480.109540491,590.9841994760114
174,174,5067025.202417243,5068119.576036929,598.3748995639951
175,175,5066214.736391656,5067807.187466455,563.8563217392018
176,176,5066214.736391656,5067553.404140914,544.2735210197532
177,177,5065536.5447200695,5067281.861312371,409.0877441412365
178,178,5065536.5447200695,5067128.1360377455,346.4113257178486
179,179,5065536.5447200695,5066899.19917013,445.9082802089567
180,180,5065536.5447200695,5066776.575245009,458.8324681262763
181,181,5065051.716544903,5066590.195215005,491.6007953942008
182,182,5064878.207550489,5066301.944389597,552.4951461217925
183,183,5064167.887246994,5066039.038174729,653.6948289207957
184,184,5063963.451149458,5065760.929304497,635.5293999709914
185,185,5063719.689354061,5065401.485857479,729.6138155949842
186,186,5063719.689354061,5064961.99978749,764.3902173625789
187,187,5063407.506920971,5064567.27784558,804.5202258092954
188,188,5062455.282775706,5064189.0230267225,761.9251642519512
189,189,5062187.527864282,5063684.583613332,781.4094499511085
190,190,5061145.217676298,5063333.709509705,787.7299396441903
191,191,5061145.217676298,5062928.456419627,780.4694856652578
192,192,5061145.217676298,5062575.183548339,707.5456745951634
193,193,5061145.217676298,5062217.962742953,575.0481129066787
194,194,5060845.147935639,5061921.96935946,460.8389960118191
195,195,5060845.147935639,5061655.681205406,411.979791765798
196,196,5060089.048703917,5061469.566100665,412.8915396856947
197,197,5060089.048703917,5061303.50728847,448.4170642001732
198,198,5060089.048703917,5061133.283744511,444.4738458465208
199,199,5060089.048703917,5060798.5049581295,520.9655557976698
200,200,5059029.944346726,5060544.58248548,578.4136490204023
201,201,5059029.944346726,5060306.603457976,577.1565473061145
202,202,5058759.627803401,5060017.736590394,577.4686027593274
203,203,5058759.627803401,5059723.086345884,562.9595252291671
204,204,5058759.627803401,5059405.147317655,492.67380649503593
205,205,5058744.146628033,5059194.334639044,400.0479992387284
206,206,5058075.1236816505,5059022.485991181,329.3866005568262
207,207,5058075.1236816505,5058912.937821087,453.4464787632755
208,208,5057815.002452234,5058767.230591811,316.0234411101813
209,209,5057815.002452234,5058569.951033093,397.5716434097425
210,210,5057181.481470136,5058401.705122661,397.7781809547553
211,211,5057181.481470136,5058177.694494648,368.8047787510084
212,212,5057181.481470136,5057952.059162622,344.343454353813
213,213,5057080.673809447,5057770.2813644,373.9873019329299
214,214,5056607.914313062,5057606.382220876,406.52782432166026
215,215,5056607.914313062,5057443.536442796,376.0862601324959
216,216,5056607.914313062,5057289.486788587,345.6888583561623
217,217,5056607.914313062,5057104.965820282,225.9495523124809
218,218,5056607.69679066,5056991.699656707,253.8646934401399
219,219,5056162.708746975,5056849.454767196,402.4904986475111
220,220,5054905.414497608,5056682.0573181845,431.15042419761687
221,221,5054905.414497608,5056484.105644116,543.5128545988853
222,222,5054758.559842862,5056252.152171005,633.6133377711026
223,223,5054758.559842862,5056000.755848547,724.4814118197115
